gamma,Nx,Nt,relative_error_V_x0,control_RMSE_interior,fraction_final_Vxx_ge_0,fraction_denom_clipped
1.5,50,1600,0.0004512039627148,0.0007807157041661,0.0,0.0
1.5,100,1600,0.000110381562379,0.0001860186564698,0.0,0.0
1.5,200,1600,2.717148968983561e-05,4.553043782413157e-05,0.0,0.0
1.5,400,1600,6.612117954187548e-06,1.1282611139601836e-05,0.0,0.0
3.0,50,1600,0.0066964697691026,0.0122644902262572,0.0,0.0
3.0,100,1600,0.0016391578247557,0.0029566591044977,0.0,0.0
3.0,200,1600,0.0004045194732616,0.0007253720833573,0.0,0.0
3.0,400,1600,9.94726104794718e-05,0.0001796129061382,0.0,0.0
5.0,50,1600,0.024699640444191,0.0347507261052179,0.0,0.0
5.0,100,1600,0.0060605551359498,0.0084812371649447,0.0,0.0
5.0,200,1600,0.0014975415866922,0.0020870055545081,0.0,0.0
5.0,400,1600,0.0003693980894509,0.0005171578264646,0.0,0.0
