gamma,Nx,Nt,relative_error_V_x0,control_RMSE_interior,fraction_final_Vxx_ge_0,fraction_denom_clipped
1.5,200,50,2.1114069048354e-05,4.628039404939503e-05,0.0,0.0
1.5,200,100,2.424096375492874e-05,4.592678837037314e-05,0.0,0.0
1.5,200,200,2.5804023834077685e-05,4.572281778535885e-05,0.0,0.0
1.5,200,400,2.6585457087161497e-05,4.5614431050460734e-05,0.0,0.0
3.0,200,50,0.0003569209837489,0.0007253720659625,0.0,0.0
3.0,200,100,0.0003814984257296,0.0007253720761433,0.0,0.0
3.0,200,200,0.0003937787611104,0.0007253720806644,0.0,0.0
3.0,200,400,0.0003999168342875,0.0007253720823884,0.0,0.0
5.0,200,50,0.0013660765881326,0.0020870055545071,0.0,0.0
5.0,200,100,0.0014339767161586,0.0020870055545066,0.0,0.0
5.0,200,200,0.0014678889858026,0.0020870055545062,0.0,0.0
5.0,200,400,0.0014848356859688,0.0020870055545054,0.0,0.0
