lambda,strategy,frequency,rmse,mae,bias,mean_cost,turnover,n_trades,knockout_fraction,rmse_knockout,rmse_survivor,rmse_near_barrier
0.0,bellman_lambda0,24,1.351963747746769,0.9828991161301072,0.0235361934095663,0.0,2.0003008570839573,24.0,0.1855,1.144043834499152,1.3949909700676917,1.3905652936718216
0.0,european_delta,24,1.3966551601747628,1.0440967273608248,-0.0354776622393341,0.0,2.0277801174860124,22.2095,0.1855,0.9147279415426136,1.4847010846178963,1.3792662243646767
0.0,barrier_delta,24,1.3952945399031818,1.0469828678771966,-0.0023111927255493,0.0,2.008147065805663,22.1855,0.1855,0.968480104341794,1.475337020486975,1.3618274412885432
0.0005,bellman_costs,4,5.972320004178954,4.22520073102803,-0.6148517060790166,0.0355973491746448,0.6941001076145449,3.758,0.1855,3.4558393338396947,6.408750549975705,4.079829430149131
0.0005,barrier_no_trade,4,3.475345561047336,2.680565463307805,-0.2792113637592278,0.0555008743969829,1.0999112308843757,3.4805,0.1855,2.9810615941006957,3.5783845106233527,3.5424524262330617
0.0005,european_delta,4,3.2904959043116317,2.508785363400933,-0.2620979904188826,0.0545186929532612,1.0797297511054689,3.9,0.1855,2.639115405483488,3.421552453044915,3.3378303655709423
0.0005,barrier_delta,4,3.4633710434380545,2.669465316996148,-0.2725752004017372,0.0559637731058781,1.1084895479636188,3.9,0.1855,2.9946972990482106,3.561497894067936,3.548115828203945
0.002,bellman_costs,4,5.900394309744772,4.090622486773427,-0.8273850788503125,0.1492860574637315,0.7325304049451601,3.976,0.1855,2.963952301898833,6.383010854336478,3.70449553805079
0.002,barrier_no_trade,4,3.506865107966055,2.696117617535519,-0.448268558927397,0.2220034975879318,1.0999112308843757,3.4805,0.1855,3.0783125334420824,3.5973360636026013,3.5890182815390674
0.002,european_delta,4,3.322457469940857,2.5268998239835625,-0.4281802187114671,0.2180747718130448,1.0797297511054689,3.9,0.1855,2.73077228863421,3.4430254198212857,3.386826352195232
0.002,barrier_delta,4,3.49497754040887,2.684757115002008,-0.4430340517899215,0.2238550924235124,1.1084895479636188,3.9,0.1855,3.092176868252762,3.580384291463338,3.595463908073111
0.01,bellman_costs,4,8.002441289296627,6.394849644694703,-1.8836204355662416,0.6971146336255016,0.6535233825381441,3.6955,0.1855,6.7597250164168825,8.259366126902208,7.002920250647919
0.01,barrier_no_trade,4,3.803375374461619,2.89497587296174,-1.3499069331576148,1.1100174879396592,1.0999112308843757,3.4805,0.1855,3.690306869665401,3.828659584948901,3.96010375701434
0.01,european_delta,4,3.622200052430318,2.741196155448173,-1.313952102938573,1.0903738590652243,1.0797297511054689,3.9,0.1855,3.322483922534041,3.6870548815430872,3.772776981855364
0.01,barrier_delta,4,3.7943309819791673,2.887519880118232,-1.3521479258602207,1.1192754621175622,1.1084895479636188,3.9,0.1855,3.7054494407279264,3.814283942614736,3.971224493092013
