lambda,path,t,S,alive,q_bellman,barrier_delta
0.0,0,0.0,100.0,1,0.5983244783845768,0.5943841479067943
0.0,0,0.03968253968253968,103.373476592949,1,0.6542235671833629,0.6400351637582806
0.0,0,0.08333333333333333,108.70477591802099,1,0.7424171074333324,0.7264221870316182
0.0,0,0.12698412698412698,104.0881878188064,1,0.6667589399065572,0.6487831051977389
0.0,0,0.16666666666666666,103.27276434177126,1,0.64889666046964,0.6331631443027979
0.0,0,0.20634920634920634,102.44245290891804,1,0.6295156588383324,0.6266372085117745
0.0,0,0.25,109.20398952395817,1,0.7583060646917171,0.7395647297839529
0.0,0,0.2936507936507936,111.46005063442858,1,0.7952423469292131,0.8051269202987745
0.0,0,0.3333333333333333,116.2204152004976,1,0.863017205576694,0.8701736132546076
0.0,0,0.373015873015873,119.08267901637548,1,0.8968065196227564,0.8895482862295193
0.0,0,0.41666666666666663,119.87545278871458,1,0.9084317934951317,0.9003217096211883
0.0,0,0.4603174603174603,118.57594447132453,1,0.9017856443184842,0.9006419414912639
0.0,0,0.5,118.98325669555496,1,0.9108641098947995,0.908271940493902
0.0,0,0.5396825396825397,115.12590489946004,1,0.8759028610569152,0.8734075562853673
0.0,0,0.5833333333333333,117.47347658868559,1,0.9104244344668009,0.9228106354775094
0.0,0,0.626984126984127,119.77041297650408,1,0.937690986571201,0.9355142655268172
0.0,0,0.6666666666666666,128.01417231873734,1,0.9815774908983116,0.9901970389954275
0.0,0,0.7063492063492063,129.30296919787793,1,0.9869207797801064,0.9946913159082552
0.0,0,0.75,131.67738289338422,1,0.9913472323580199,0.9971691137797046
0.0,0,0.7936507936507936,140.74216139762152,1,0.9943321317620213,0.9999401810628035
0.0,0,0.8333333333333333,135.02763415732935,1,0.9936608041157458,0.9999502229669457
0.0,0,0.873015873015873,129.77277149683957,1,0.9929590276729203,0.9999561703452167
0.0,0,0.9166666666666666,129.96975474624182,1,0.9930949884014273,0.9999996671347855
0.0,0,0.9603174603174602,132.76770080232572,1,0.9934875904795143,0.9999999999999964
0.0,11,0.0,100.0,1,0.5983244783845768,0.5943841479067943
0.0,11,0.03968253968253968,98.14635779220075,1,0.559609094847631,0.5509752331378204
0.0,11,0.08333333333333333,96.76825823633654,1,0.5277835551909144,0.5295979008475257
0.0,11,0.12698412698412698,93.69748187535345,1,0.461282974499776,0.4559743406645553
0.0,11,0.16666666666666666,91.39370498070205,1,0.40718063112259384,0.4137603354879612
0.0,11,0.20634920634920634,87.71388443296686,1,0.33306478039658594,0.3233062314772011
0.0,11,0.25,84.89770763131357,1,0.2749716262164208,0.2886548794492857
0.0,11,0.2936507936507936,85.11721055563046,1,0.2622955620543537,0.27923239906713015
0.0,11,0.3333333333333333,85.29741215460506,1,0.24838833886620287,0.26564162044193407
0.0,11,0.373015873015873,80.85522630794694,0,-0.010897245422782212,0.0
0.0,11,0.41666666666666663,75.7656123902102,0,-0.012743498023666566,0.0
0.0,11,0.4603174603174603,75.73910221424067,0,-0.012782290618118454,0.0
0.0,11,0.5,77.15157016697744,0,-0.01222494443377947,0.0
0.0,11,0.5396825396825397,76.89200694810552,0,-0.012351827284068126,0.0
0.0,11,0.5833333333333333,78.8665608756218,0,-0.011608711350521992,0.0
0.0,11,0.626984126984127,75.8441972729764,0,-0.012785700299241495,0.0
0.0,11,0.6666666666666666,81.05815385006198,0,-0.010763484647419276,0.0
0.0,11,0.7063492063492063,79.00761189630626,0,-0.011480206936997299,0.0
0.0,11,0.75,77.127724491859,0,-0.012201819872297322,0.0
0.0,11,0.7936507936507936,73.82549866443145,0,-0.013587210965851316,0.0
0.0,11,0.8333333333333333,77.95122008803212,0,-0.011823732375463483,0.0
0.0,11,0.873015873015873,75.09254878579902,0,-0.012967667531052761,0.0
0.0,11,0.9166666666666666,77.25403931065534,0,-0.012092503435759043,0.0
0.0,11,0.9603174603174602,77.35758052902845,0,-0.012078478210459615,0.0
0.0005,0,0.0,100.0,1,0.45160626893931305,0.5800546923029054
0.0005,0,0.25,109.20398952395817,1,0.5029770698590716,0.6991166687113175
0.0005,0,0.5,118.98325669555496,1,0.6768539773524497,0.9211335306579344
0.0005,0,0.75,131.67738289338422,1,0.75,0.9996250765745377
0.0005,11,0.0,100.0,1,0.45160626893931305,0.5800546923029054
0.0005,11,0.25,84.89770763131357,1,0.2965505961040097,0.28597987812331715
0.0005,11,0.5,77.15157016697744,0,0.14274858201383456,0.0
0.0005,11,0.75,77.127724491859,0,0.07482258114497076,0.0
0.002,0,0.0,100.0,1,0.45160626893931305,0.5800546923029054
0.002,0,0.25,109.20398952395817,1,0.5043655426089302,0.6991166687113175
0.002,0,0.5,118.98325669555496,1,0.6836548347227159,0.9211335306579344
0.002,0,0.75,131.67738289338422,1,0.75,0.9996250765745377
0.002,11,0.0,100.0,1,0.45160626893931305,0.5800546923029054
0.002,11,0.25,84.89770763131357,1,0.2971560108631662,0.28597987812331715
0.002,11,0.5,77.15157016697744,0,0.14391157249927125,0.0
0.002,11,0.75,77.127724491859,0,0.07482258114497076,0.0
0.01,0,0.0,100.0,1,0.08885766357940901,0.5800546923029054
0.01,0,0.25,109.20398952395817,1,0.83902313511587,0.6991166687113175
0.01,0,0.5,118.98325669555496,1,0.75,0.9211335306579344
0.01,0,0.75,131.67738289338422,1,0.75,0.9996250765745377
0.01,11,0.0,100.0,1,0.08885766357940901,0.5800546923029054
0.01,11,0.25,84.89770763131357,1,0.07495817950166474,0.28597987812331715
0.01,11,0.5,77.15157016697744,0,0.0,0.0
0.01,11,0.75,77.127724491859,0,0.0,0.0
