lambda,frequency,strategy,band,rmse,mae,bias,q01,q05,q50,q95,q99,mean_cost,turnover,n_trades,knockout_fraction,rmse_knockout,rmse_survivor,rmse_near_barrier
0.0,24,bellman_lambda0,-1.0,1.351963747746769,0.9828991161301072,0.023536193409566312,-3.823104451089365,-2.209662025055272,0.01323952207372514,2.22032596185442,3.325056611896752,0.0,2.0003008570839573,24.0,0.1855,1.144043834499152,1.3949909700676915,1.3905652936718216
0.0,24,european_delta,0.0,1.3966551601747628,1.0440967273608248,-0.03547766223933419,-4.092291273343198,-2.3608724050047485,0.039842499359075134,2.1787391393862334,3.2872034654457747,0.0,2.0277801174860124,22.2095,0.1855,0.9147279415426136,1.4847010846178965,1.3792662243646767
0.0,24,barrier_delta,0.0,1.3952945399031818,1.0469828678771966,-0.002311192725549333,-3.808196356487627,-2.222199998183097,0.008317055882720067,2.328839265220917,3.3665684640079516,0.0,2.008147065805663,22.1855,0.1855,0.968480104341794,1.475337020486975,1.3618274412885432
0.0005,4,bellman_costs,-1.0,5.972320004178954,4.22520073102803,-0.6148517060790166,-22.189925719921693,-11.626452770943299,0.3542510300112838,6.619280115587832,7.69176979675506,0.03559734917464487,0.6941001076145449,3.758,0.1855,3.4558393338396947,6.408750549975705,4.079829430149131
0.0005,4,barrier_no_trade,0.05,3.475345561047336,2.6805654633078055,-0.2792113637592278,-10.34345627359193,-5.953194103823291,-0.029957334008777536,5.112326193695927,6.220973986601596,0.05550087439698296,1.0999112308843757,3.4805,0.1855,2.9810615941006953,3.5783845106233527,3.5424524262330617
0.0005,4,european_delta,0.0,3.2904959043116313,2.508785363400933,-0.26209799041888265,-9.872178671919531,-5.8678688712793345,-0.09310085065793672,4.890663724866918,6.0907245301834845,0.054518692953261214,1.0797297511054689,3.9,0.1855,2.6391154054834876,3.421552453044915,3.3378303655709423
0.0005,4,barrier_delta,0.0,3.4633710434380545,2.669465316996148,-0.27257520040173727,-10.360108119829443,-5.971565336983068,-0.029957334008777536,5.060797570366611,6.178477225183906,0.05596377310587812,1.1084895479636188,3.9,0.1855,2.9946972990482106,3.561497894067936,3.548115828203945
0.002,4,bellman_costs,-1.0,5.9003943097447715,4.090622486773427,-0.8273850788503125,-22.19093351755239,-11.750993141215682,0.19458802399906006,6.107477393915059,7.477154629146376,0.14928605746373153,0.7325304049451601,3.976,0.1855,2.963952301898833,6.383010854336478,3.70449553805079
0.002,4,barrier_no_trade,0.05,3.506865107966055,2.696117617535519,-0.448268558927397,-10.610179439494681,-6.1466933462752,-0.18873026798302694,4.959565083422064,6.07196065688763,0.22200349758793184,1.0999112308843757,3.4805,0.1855,3.0783125334420824,3.5973360636026013,3.5890182815390674
0.002,4,european_delta,0.0,3.322457469940857,2.5268998239835625,-0.4281802187114671,-10.077649120258418,-6.039390009055969,-0.255744091553594,4.758735835867858,5.95603829925479,0.21807477181304485,1.0797297511054689,3.9,0.1855,2.73077228863421,3.4430254198212857,3.3868263521952318
0.002,4,barrier_delta,0.0,3.49497754040887,2.6847571150020078,-0.4430340517899215,-10.629806512347548,-6.159597696950986,-0.18873026798302694,4.896083653405961,6.048438423077049,0.22385509242351248,1.1084895479636188,3.9,0.1855,3.092176868252762,3.580384291463338,3.595463908073111
0.01,4,bellman_costs,-1.0,8.002441289296627,6.394849644694703,-1.8836204355662418,-22.847683558090417,-16.520851491218142,-1.217022842963182,7.9357826992484695,8.906157086699345,0.6971146336255016,0.6535233825381441,3.6955,0.1855,6.7597250164168825,8.259366126902208,7.002920250647919
0.01,4,barrier_no_trade,0.05,3.803375374461619,2.89497587296174,-1.3499069331576148,-12.03270299097606,-7.2379675434963415,-1.1120140538234655,4.200917285737198,5.373096989490526,1.1100174879396592,1.0999112308843757,3.4805,0.1855,3.690306869665401,3.8286595849489005,3.9601037570143403
0.01,4,european_delta,0.0,3.622200052430318,2.741196155448173,-1.313952102938573,-11.243023100046338,-7.061976080646558,-1.126602011737332,4.01166665672511,5.241383596458197,1.0903738590652243,1.0797297511054689,3.9,0.1855,3.3224839225340412,3.6870548815430872,3.772776981855364
0.01,4,barrier_delta,0.0,3.7943309819791673,2.8875198801182314,-1.3521479258602207,-12.03270299097606,-7.240973077643874,-1.1060939165168322,4.13365821614124,5.345958466877266,1.1192754621175622,1.1084895479636188,3.9,0.1855,3.7054494407279264,3.8142839426147357,3.971224493092013
