lambda,t,S,alive,barrier_price,barrier_delta,european_delta,bellman_position,knockout_probability_next_step
0.0,0.0,80.8,1,0.27738974898881785,0.3415014747879461,0.1932543756017301,0.13040353536634292,0.8879757002879226
0.0,0.0,84.0,1,1.428266040689622,0.32035731526836375,0.2508660405843025,0.34207981444232327,0.05746517633422388
0.0,0.0,100.0,1,8.832482837986595,0.5941685471218239,0.579259709439103,0.5984200501282885,0.0
0.0,0.0,120.0,1,23.744620394042368,0.8639312358050143,0.8668465878618943,0.870756763822547,0.0
0.0,0.0,150.0,1,52.061420461461545,0.97960113182633,0.9870372376141964,0.9798104158678138,0.0
0.0,0.5,80.8,1,0.11868765799801996,0.1456147180832843,0.08595655674509295,0.05717398826915794,0.8879757002879226
0.0,0.5,84.0,1,0.6306179005374853,0.16466338813904327,0.1375389412784963,0.16532856265332788,0.05746517633422388
0.0,0.5,100.0,1,6.110993381309192,0.5567384068458011,0.5562314580091424,0.566536531399963,0.0
0.0,0.5,120.0,1,21.614094328878032,0.9174585168467343,0.9237317784534831,0.9266873424464431,0.0
0.0,0.5,150.0,1,51.003059329477075,0.9986261787934949,0.9986872641547745,0.9986935643140761,0.0
0.0,0.9583333333333333,80.8,1,0.0,0.0,1.101598375366804e-07,0.0,0.8879757002879226
0.0,0.9583333333333333,84.0,1,0.0,0.0,1.1687500378457119e-05,0.0,0.05746517633422388
0.0,0.9583333333333333,100.0,1,1.53442514348722,0.513787524448162,0.5162822274302316,0.5471337490321867,0.0
0.0,0.9583333333333333,120.0,1,20.083298620754167,1.0000000000000013,0.9999967089455634,1.0000000000000002,0.0
0.0,0.9583333333333333,150.0,1,50.08329862075416,1.0,1.0,1.0,0.0
0.0005,0.0,80.8,1,0.2809005939099728,0.3437606543467178,0.1932543756017301,0.016019427859446767,0.9803929514500063
0.0005,0.0,84.0,1,1.4552877830355522,0.38067928073196494,0.2508660405843025,0.04303323017037436,0.6212038289467053
0.0005,0.0,100.0,1,8.671585051062163,0.5803993669650065,0.579259709439103,0.45500653754461223,4.731851513262164e-05
0.0005,0.0,120.0,1,23.81001111025674,0.8626092937136265,0.8668465878618943,0.6202429752366747,5.218048215738236e-15
0.0005,0.0,150.0,1,52.079001971669044,0.9815355731726697,0.9870372376141964,0.9713257877753587,0.0
0.0005,0.5,80.8,1,0.11959387652413028,0.1539633049385135,0.08595655674509295,0.016566998719910513,0.9803929514500063
0.0005,0.5,84.0,1,0.6776000747862304,0.17731321509452982,0.1375389412784963,0.05247445193997214,0.6212038289467053
0.0005,0.5,100.0,1,5.849051290698209,0.5525836664714819,0.5562314580091424,0.09010067302799003,4.731851513262164e-05
0.0005,0.5,120.0,1,21.683613755138854,0.9211322654869596,0.9237317784534831,0.6932970996532288,5.218048215738236e-15
