sweep,Ny,Nt,eps_V,eps_pi
Ny,50,800,0.11596145536226782,0.05607882362466589
Ny,100,800,0.06226870893754651,0.03143083434044514
Ny,200,800,0.02975078201253704,0.01477950744073087
Ny,400,800,0.014939992739301008,0.007445879337127705
Ny,800,800,0.007531536652796536,0.003772621666657928
Nt,800,50,0.030377708016472355,0.03016223470219582
Nt,800,100,0.03186707641931359,0.4822302527538229
Nt,800,200,0.007522276502949987,0.003772621666732424
Nt,800,400,0.007528450286917809,0.003772621666697674
Nt,800,800,0.007531536652796536,0.003772621666657928
