lambda,time_index,t,S,hold_fraction,buy_fraction,sell_fraction,hold_width_q
0.002,0,0.0,34.99999999999999,0.04532304725168756,0.772420443587271,0.18225650916104147,0.0030737704918032786
0.002,0,0.0,50.50432701434706,0.06943105110896818,0.31822565091610416,0.6123432979749277,0.06967213114754098
0.002,0,0.0,62.844824112624806,0.03471552555448409,0.3481195756991321,0.6171648987463838,0.02663934426229508
0.002,0,0.0,70.76884601578779,0.029893924783027964,0.39151398264223725,0.5785920925747348,0.02151639344262295
0.002,0,0.0,76.45004146747542,0.020250723240115717,0.41947926711668276,0.5602700096432015,0.012295081967213115
0.002,0,0.0,81.03660623863144,0.024108003857280617,0.446480231436837,0.5294117647058824,0.01331967213114754
0.002,0,0.0,85.01576044541493,0.02507232401157184,0.4648023143683703,0.5101253616200578,0.010245901639344262
0.002,0,0.0,88.62915570681062,0.017357762777242044,0.4821600771456123,0.5004821600771456,0.0030737704918032786
0.002,0,0.0,92.01543416959255,0.01832208293153327,0.5101253616200578,0.47155255544840885,0.0020491803278688526
0.002,0,0.0,95.26417661238666,0.023143683702989394,0.5313404050144648,0.4455159112825458,0.004098360655737705
0.002,0,0.0,100.0,0.020250723240115717,0.5506268081002893,0.42912246865959497,0.0020491803278688526
0.002,0,0.0,101.59235973731411,0.019286403085824494,0.5641272902603665,0.4165863066538091,0.0
0.002,0,0.0,104.76646316410954,0.024108003857280617,0.5998071359691417,0.3760848601735776,0.0
0.002,0,0.0,108.00359056176528,0.022179363548698167,0.600771456123433,0.3770491803278688,0.0
0.002,0,0.0,111.34667556232345,0.019286403085824494,0.6133076181292189,0.3674059787849566,0.0
0.002,0,0.0,114.84323844475158,0.015429122468659595,0.6364513018322083,0.3481195756991321,0.0
0.002,0,0.0,118.54919016105582,0.015429122468659595,0.5988428158148505,0.3857280617164899,0.0
0.002,0,0.0,122.5337383187385,0.01253616200578592,0.5467695274831244,0.4406943105110897,0.0
0.002,0,0.0,126.88621285797235,0.010607521697203472,0.5255544840887174,0.46383799421407906,0.0
0.002,0,0.0,131.72587324717543,0.007714561234329798,0.5332690453230472,0.45901639344262296,0.0
0.002,0,0.0,137.2158034674972,0.0048216007714561235,0.5477338476374156,0.4474445515911283,0.0
0.002,0,0.0,143.5806192876206,0.007714561234329798,0.5544840887174542,0.437801350048216,0.0
0.002,0,0.0,151.12090748822354,0.006750241080038573,0.5728061716489875,0.420443587270974,0.0
0.002,0,0.0,160.19579252839088,0.006750241080038573,0.6162005785920925,0.3770491803278688,0.0
0.002,0,0.0,171.10911494738463,0.007714561234329798,0.6403085824493732,0.351976856316297,0.0
0.002,0,0.0,183.87445188001587,0.007714561234329798,0.6730954676952748,0.3191899710703954,0.0
0.002,0,0.0,198.08575235040416,0.007714561234329798,0.6740597878495661,0.31822565091610416,0.0
0.002,0,0.0,213.1554219136412,0.007714561234329798,0.7203471552555448,0.2719382835101254,0.0
0.002,0,0.0,228.63459156755098,0.007714561234329798,0.7290260366441659,0.26325940212150434,0.0
0.002,0,0.0,244.28426426841278,0.011571841851494697,0.7232401157184185,0.2651880424300868,0.0
0.002,0,0.0,259.99999999999994,0.009643201542912247,0.7203471552555448,0.2700096432015429,0.0
0.002,1,0.0625,34.99999999999999,0.04725168756027001,0.7733847637415622,0.17936354869816779,0.004098360655737705
0.002,1,0.0625,50.50432701434706,0.07232401157184185,0.3201542912246866,0.6075216972034716,0.06762295081967214
0.002,1,0.0625,62.844824112624806,0.03857280617164899,0.3490838958534233,0.6123432979749277,0.028688524590163935
0.002,1,0.0625,70.76884601578779,0.03278688524590164,0.39247830279652846,0.5747348119575699,0.02151639344262295
0.002,1,0.0625,76.45004146747542,0.022179363548698167,0.4214079074252652,0.5564127290260367,0.014344262295081968
0.002,1,0.0625,81.03660623863144,0.02507232401157184,0.4474445515911283,0.5274831243972999,0.014344262295081968
0.002,1,0.0625,85.01576044541493,0.026036644165863067,0.46673095467695275,0.5072324011571842,0.011270491803278689
