lambda,path,t,S,delta_bs,q_bellman
0.0005,0,0.0,100.0,0.579259709439103,0.625
0.0005,0,0.08333333333333333,102.21689368712215,0.6201955022272179,0.625
0.0005,0,0.16666666666666666,102.80897602863324,0.6309260118524439,0.625
0.0005,0,0.25,104.51523261371729,0.665739310350137,0.8125
0.0005,0,0.3333333333333333,95.7610824431919,0.45940112402242766,0.8125
0.0005,0,0.41666666666666663,96.96842933981779,0.48054697192137047,0.8125
0.0005,0,0.5,106.2488706367436,0.7156703097019246,0.8125
0.0005,0,0.5833333333333333,101.08495276493503,0.5842144065799502,0.8125
0.0005,0,0.6666666666666666,93.77391016837325,0.3295190899637461,0.5
0.0005,0,0.75,105.36034054453583,0.7330820081484253,0.875
0.0005,0,0.8333333333333333,107.21220377182021,0.8249926373089556,0.6875
0.0005,0,0.9166666666666666,99.74379765324795,0.5053067874866859,0.5
0.002,0,0.0,100.0,0.579259709439103,0.625
0.002,0,0.08333333333333333,102.21689368712215,0.6201955022272179,0.625
0.002,0,0.16666666666666666,102.80897602863324,0.6309260118524439,0.625
0.002,0,0.25,104.51523261371729,0.665739310350137,0.8125
0.002,0,0.3333333333333333,95.7610824431919,0.45940112402242766,0.3125
0.002,0,0.41666666666666663,96.96842933981779,0.48054697192137047,0.3125
0.002,0,0.5,106.2488706367436,0.7156703097019246,0.75
0.002,0,0.5833333333333333,101.08495276493503,0.5842144065799502,0.5625
0.002,0,0.6666666666666666,93.77391016837325,0.3295190899637461,0.5625
0.002,0,0.75,105.36034054453583,0.7330820081484253,0.75
0.002,0,0.8333333333333333,107.21220377182021,0.8249926373089556,0.75
0.002,0,0.9166666666666666,99.74379765324795,0.5053067874866859,0.75
0.01,0,0.0,100.0,0.579259709439103,0.625
0.01,0,0.08333333333333333,102.21689368712215,0.6201955022272179,0.625
0.01,0,0.16666666666666666,102.80897602863324,0.6309260118524439,0.625
0.01,0,0.25,104.51523261371729,0.665739310350137,0.625
0.01,0,0.3333333333333333,95.7610824431919,0.45940112402242766,0.625
0.01,0,0.41666666666666663,96.96842933981779,0.48054697192137047,0.625
0.01,0,0.5,106.2488706367436,0.7156703097019246,0.625
0.01,0,0.5833333333333333,101.08495276493503,0.5842144065799502,0.625
0.01,0,0.6666666666666666,93.77391016837325,0.3295190899637461,0.3125
0.01,0,0.75,105.36034054453583,0.7330820081484253,0.75
0.01,0,0.8333333333333333,107.21220377182021,0.8249926373089556,0.75
0.01,0,0.9166666666666666,99.74379765324795,0.5053067874866859,0.5625
