state,probability,quantile
S,0.0,55.09366773991502
S,0.001,65.05407928616111
S,0.01,73.78944326574816
S,0.05,82.50273920262264
S,0.25,95.42188007803004
S,0.5,100.3252114678422
S,0.75,110.95756047745098
S,0.95,131.0064928225608
S,0.99,148.6859651750326
S,0.999,172.42066311791717
S,1.0,204.598946594374
cash,0.0,-109.45583356759776
cash,0.001,-103.77971777830001
cash,0.01,-101.90721215593345
cash,0.05,-99.64885779716457
cash,0.25,-69.34202233829642
cash,0.5,-53.84553979406886
cash,0.75,-30.61378738302982
cash,0.95,8.916037278572539
cash,0.99,8.916037278572539
cash,0.999,8.916037278572539
cash,1.0,8.916037278572539
q,0.0,0.0
q,0.001,0.0
q,0.01,0.0
q,0.05,0.0
q,0.25,0.375
q,0.5,0.625
q,0.75,0.75
q,0.95,1.0
q,0.99,1.0
q,0.999,1.0
q,1.0,1.0
