lambda,strategy,error,pnl,cost
0.0005,bellman_dp_costs_adaptive,-2.0664798074686033,-2.0664798074686033,0.09485766550704494
0.0005,bellman_dp_costs_adaptive,1.312808077259966,1.312808077259966,0.08826356178963815
0.0005,bellman_dp_costs_adaptive,3.202130581338679,3.202130581338679,0.10311608345859652
0.0005,bellman_dp_costs_adaptive,3.3168929663563915,3.3168929663563915,0.0410070526340673
0.0005,bellman_dp_costs_adaptive,-6.604998509932244,-6.604998509932244,0.0512105979804058
0.0005,bellman_dp_costs_adaptive,1.587408352540578,1.587408352540578,0.04516970158706743
0.0005,bellman_dp_costs_adaptive,3.464309705639309,3.464309705639309,0.06409064308992968
0.0005,bellman_dp_costs_adaptive,0.09656139832053867,0.09656139832053867,0.06095528656551822
0.0005,bellman_dp_costs_adaptive,4.15831310902616,4.15831310902616,0.08302078352312761
0.0005,bellman_dp_costs_adaptive,-5.546403896299722,-5.546403896299722,0.08617384517376055
0.0005,bellman_dp_costs_adaptive,3.8252360202561277,3.8252360202561277,0.10319212698453287
0.0005,bellman_dp_costs_adaptive,-0.07879372387883166,-0.07879372387883166,0.06885919723620514
0.0005,bellman_dp_costs_adaptive,4.842488808798077,4.842488808798077,0.060834486408182245
0.0005,bellman_dp_costs_adaptive,-2.92555755075864,-2.92555755075864,0.11775374948774557
0.0005,bellman_dp_costs_adaptive,-5.591107896713922,-5.591107896713922,0.11903281657749135
0.0005,bellman_dp_costs_adaptive,-1.6594787831237676,-1.6594787831237676,0.05546712794012305
0.0005,bellman_dp_costs_adaptive,4.876475871932822,4.876475871932822,0.055276696813503584
0.0005,bellman_dp_costs_adaptive,-0.0489436298299637,-0.0489436298299637,0.04572110098105027
0.0005,bellman_dp_costs_adaptive,2.966331999990871,2.966331999990871,0.07445673670307063
0.0005,bellman_dp_costs_adaptive,0.3809910301590733,0.3809910301590733,0.06995542669149661
0.0005,bellman_dp_costs_adaptive,-0.5464007473272687,-0.5464007473272687,0.04526109595228718
0.0005,bellman_dp_costs_adaptive,4.556798001232813,4.556798001232813,0.07414256339051019
0.0005,bellman_dp_costs_adaptive,-2.778916708270927,-2.778916708270927,0.13511441566724652
0.0005,bellman_dp_costs_adaptive,-10.15866332959682,-10.15866332959682,0.1430220020608647
0.0005,bellman_dp_costs_adaptive,-2.895629547876652,-2.895629547876652,0.10258851538519821
0.0005,bellman_dp_costs_adaptive,-5.257178204968991,-5.257178204968991,0.10881456837542192
0.0005,bellman_dp_costs_adaptive,-1.826401712586133,-1.826401712586133,0.10882064471783703
0.0005,bellman_dp_costs_adaptive,-1.0122758577142719,-1.0122758577142719,0.06404425050740817
0.0005,bellman_dp_costs_adaptive,6.14777566292404,6.14777566292404,0.06074597743753434
0.0005,bellman_dp_costs_adaptive,1.3448712041622741,1.3448712041622741,0.0743891014328466
