lambda,frequency,strategy,band,rmse,mae,pnl_mean,pnl_q01,pnl_q05,pnl_q50,pnl_q95,pnl_q99,mean_total_cost,mean_turnover,mean_n_rebalances,mse,eta,criterion_J
0.0,12,delta_bs,0.0,1.9452273531016606,1.4746504329732193,-0.032820457548359286,-5.410750448672542,-3.202042605678841,-0.011621576132067796,3.1226254864946466,4.582647180213962,0.0,1.5873267392197816,11.9974,3.7839094552548924,1.0,3.7839094552548924
0.0,12,no_trade_band,0.0,1.9452273531016606,1.4746504329732193,-0.032820457548359286,-5.410750448672542,-3.202042605678841,-0.011621576132067796,3.1226254864946466,4.582647180213962,0.0,1.5873267392197816,11.9974,3.7839094552548924,1.0,3.7839094552548924
0.0,12,no_trade_band,0.02,1.9504473587556392,1.48116740610976,-0.03633908760146202,-5.4125094893725665,-3.2038439016181712,-0.008795100417647195,3.12554873650229,4.5781311632238095,0.0,1.5710755536000185,9.67215,3.804244899276849,1.0,3.804244899276849
0.0,12,no_trade_band,0.05,1.9839193565728674,1.5149447136819236,-0.04539233621849728,-5.50671959463417,-3.3110543933172947,-0.004268414364176465,3.1313517042257137,4.579481255496655,0.0,1.5123940916542464,7.6769,3.9359360133845,1.0,3.9359360133845
0.0,12,no_trade_band,0.1,2.1426406998199097,1.6550256268117185,-0.07186060953621648,-5.683256982186627,-3.6706160517961632,-0.028215109425772766,3.372768794903576,4.825759061061582,0.0,1.3778165415839838,5.3412,4.590909168524753,1.0,4.590909168524753
0.0,12,no_trade_band,0.2,2.891987434078083,2.257708378997681,-0.18907317616879527,-7.865883802455296,-5.116945790546515,-0.06398046471463736,4.314208943193492,5.842062872243217,0.0,1.1315595965018928,2.97025,8.363591318865534,1.0,8.363591318865534
0.0,12,optimized_no_trade_band,0.0,1.9452273531016606,1.4746504329732193,-0.032820457548359286,-5.410750448672542,-3.202042605678841,-0.011621576132067796,3.1226254864946466,4.582647180213962,0.0,1.5873267392197816,11.9974,3.7839094552548924,1.0,3.7839094552548924
0.0,26,delta_bs,0.0,1.3340969945107275,0.9991347456832064,-0.012742793237656713,-3.638428174658914,-2.173433781772907,-0.015024332758006409,2.1756605833054516,3.363612818713863,0.0,2.111873383251719,25.9243,1.7798147907625563,1.0,1.7798147907625563
0.0,26,no_trade_band,0.0,1.3340969945107275,0.9991347456832064,-0.012742793237656713,-3.638428174658914,-2.173433781772907,-0.015024332758006409,2.1756605833054516,3.363612818713863,0.0,2.111873383251719,25.9243,1.7798147907625563,1.0,1.7798147907625563
0.0,26,no_trade_band,0.02,1.341546667779075,1.0084071198948414,-0.01757197369777663,-3.641238952545663,-2.1948111558210073,-0.02227951595431696,2.1817092906875835,3.355107021391046,0.0,2.0640408793693448,18.44955,1.7997474618291402,1.0,1.7997474618291402
0.0,26,no_trade_band,0.05,1.4053112247285393,1.068639055871652,-0.030180898299294483,-3.750013713972149,-2.33034420573586,-0.025510955245785283,2.2516034601619435,3.453215782278138,0.0,1.90786057259445,12.85505,1.9748996383480268,1.0,1.9748996383480268
0.0,26,no_trade_band,0.1,1.6510344322980766,1.277187219590868,-0.05022877561020126,-4.305137125957861,-2.764474697625793,-0.044795585787764436,2.6515046594015947,3.8787233276191158,0.0,1.623121440913453,7.5131,2.725914696633832,1.0,2.725914696633832
0.0,26,no_trade_band,0.2,2.613958744008398,2.017454024168407,-0.17568557636898258,-7.479527501412498,-4.619402335451331,-0.04382203204128743,3.782067086424266,5.2203498902673635,0.0,1.2467422972333546,3.5684,6.832780315377961,1.0,6.832780315377961
0.0,26,optimized_no_trade_band,0.0,1.3340969945107275,0.9991347456832064,-0.012742793237656713,-3.638428174658914,-2.173433781772907,-0.015024332758006409,2.1756605833054516,3.363612818713863,0.0,2.111873383251719,25.9243,1.7798147907625563,1.0,1.7798147907625563
0.0,52,delta_bs,0.0,0.9526999238362962,0.7111545649284753,-0.003761789603093392,-2.571850367037878,-1.5341548247642907,0.0035181852154027027,1.554952941597282,2.4076959906976105,0.0,2.7730707078020096,51.6167,0.9076371448776847,1.0,0.9076371448776847
0.0,52,no_trade_band,0.0,0.9526999238362962,0.7111545649284753,-0.003761789603093392,-2.571850367037878,-1.5341548247642907,0.0035181852154027027,1.554952941597282,2.4076959906976105,0.0,2.7730707078020096,51.6167,0.9076371448776847,1.0,0.9076371448776847
0.0,52,no_trade_band,0.02,0.965099187455527,0.7254111581389657,-0.010754020796843466,-2.575453840118228,-1.5667024061363437,-0.005639394407275233,1.5636380891492796,2.414878125250506,0.0,2.6521977105671284,32.25745,0.9314164416273184,1.0,0.9314164416273184
0.0,52,no_trade_band,0.05,1.0643479401685132,0.8145474053681361,-0.025057198885395194,-2.814310118916596,-1.7539441950992158,-0.02630333628233683,1.7209116682257597,2.613092368274675,0.0,2.311075081388794,19.2565,1.1328365377409568,1.0,1.1328365377409568
0.0,52,no_trade_band,0.1,1.389621859678351,1.0875866423904006,-0.044994893047978234,-3.586623409229227,-2.3261294744202416,-0.027970621978568033,2.187892633078478,3.194057231576679,0.0,1.8334194590987845,9.61135,1.9310489128959187,1.0,1.9310489128959187
0.0,52,no_trade_band,0.2,2.454562004694384,1.8860608943039416,-0.170431710288403,-7.283326526705124,-4.348421477133295,-0.01444601738869089,3.529612001138193,4.795146975744408,0.0,1.3351500773888725,4.06595,6.024874634889314,1.0,6.024874634889314
0.0,52,optimized_no_trade_band,0.0,0.9526999238362962,0.7111545649284753,-0.003761789603093392,-2.571850367037878,-1.5341548247642907,0.0035181852154027027,1.554952941597282,2.4076959906976105,0.0,2.7730707078020096,51.6167,0.9076371448776847,1.0,0.9076371448776847
0.0,126,delta_bs,0.0,0.6164344454058871,0.46154931234149316,0.0019322765395574269,-1.6833757123229103,-0.999634926390505,-0.0009629764412172697,1.0145521218879474,1.5476992910965972,0.0,4.018923561458372,124.29495,0.3799914254828636,1.0,0.3799914254828636
0.0,126,no_trade_band,0.0,0.6164344454058871,0.46154931234149316,0.0019322765395574269,-1.6833757123229103,-0.999634926390505,-0.0009629764412172697,1.0145521218879474,1.5476992910965972,0.0,4.018923561458372,124.29495,0.3799914254828636,1.0,0.3799914254828636
0.0,126,no_trade_band,0.02,0.6426032026403765,0.4881071608152572,-0.005577382565581501,-1.722391014104912,-1.0542768581326312,-0.005479544430405658,1.0429901370530945,1.59879055637455,0.0,3.6454826860172003,62.56135,0.4129388760436688,1.0,0.4129388760436688
0.0,126,no_trade_band,0.05,0.799412082289189,0.6242245903663342,-0.0204160004675401,-2.0356471679009402,-1.3314527128306752,-0.012883621868077342,1.2735655378425628,1.8751239606721228,0.0,2.852378552841386,29.34315,0.6390596773099371,1.0,0.6390596773099371
0.0,126,no_trade_band,0.1,1.2300168336740847,0.9586362999719938,-0.06585434624086274,-3.259360121100466,-2.115930995358349,-0.027696600094635926,1.859765724321994,2.679684311905056,0.0,2.0824729064787433,12.36225,1.512941411121621,1.0,1.512941411121621
0.0,126,no_trade_band,0.2,2.2972757740787766,1.7733027598074136,-0.1505248837902269,-6.759631227006146,-3.9369939129283913,-0.020739777157190886,3.2918464570861983,4.4096927740606695,0.0,1.4339304195468046,4.65625,5.277475982169243,1.0,5.277475982169243
0.0,126,optimized_no_trade_band,0.0,0.6164344454058871,0.46154931234149316,0.0019322765395574269,-1.6833757123229103,-0.999634926390505,-0.0009629764412172697,1.0145521218879474,1.5476992910965972,0.0,4.018923561458372,124.29495,0.3799914254828636,1.0,0.3799914254828636
0.0,252,delta_bs,0.0,0.4355211980760002,0.32560792187229015,-0.0002648829633050422,-1.1392546220247257,-0.6940461050834036,-0.005317570682553539,0.7137903829854121,1.1418748743356686,0.0,5.456529227687245,247.7692,0.18967871397355462,1.0,0.18967871397355462
0.0,252,no_trade_band,0.0,0.4355211980760002,0.32560792187229015,-0.0002648829633050422,-1.1392546220247257,-0.6940461050834036,-0.005317570682553539,0.7137903829854121,1.1418748743356686,0.0,5.456529227687245,247.7692,0.18967871397355462,1.0,0.18967871397355462
