gamma,Nx,Nt,dy,dt,lambda,x0,y0,nearest_y,V_x0_num,V_x0_exact,relative_error_V_x0,pi_x0_num,pi_x0_exact,relative_error_pi_x0,control_RMSE_interior,control_relative_RMSE_interior,control_max_abs_error_interior,fraction_final_Vxx_ge_0,n_final_Vxx_ge_0,runtime_seconds,n_concavity_violations,n_near_zero_denom,n_denom_clipped,n_denom_points,min_denom,max_denom,has_nan,has_inf,first_violation_time,fraction_concavity_violations,fraction_denom_clipped,n_final_grid_points,n_final_concavity_violations,fraction_final_concavity_violations,n_final_denom_clipped,fraction_final_denom_clipped,min_final_Vxx,max_final_Vxx,has_nan_pi_raw,has_inf_pi_raw,has_nan_pi,has_inf_pi,sweep
1.5,200,50,0.03015075376884413,0.02,22.00055555555569,1.0,0.0,0.015075376884421843,-1.9506610095783175,-1.9506198240566652,2.1114069048353997e-05,1.0001010082835886,0.9999999999999998,0.00010100828358883265,4.628039404939503e-05,1.2886161186513479e-05,0.00015950510403150986,0.0,0,0.002651299990247935,0,0,0,9900,-6.622157981576885,-0.33163482401612177,False,False,,0.0,0.0,200,0,0.0,0,0.0,-2276.356695748534,-0.0006804800181875426,False,False,False,False,Nt
1.5,200,100,0.03015075376884413,0.01,11.000277777777844,1.0,0.0,0.015075376884421843,-1.9506671089611198,-1.9506198240566652,2.424096375492874e-05,1.0001010082835389,0.9999999999999998,0.00010100828353909466,4.592678837037314e-05,1.2787704380560631e-05,0.00015145544026040625,0.0,0,0.004887300019618124,0,0,0,19800,-6.622157981576885,-0.3315223512220704,False,False,,0.0,0.0,200,0,0.0,0,0.0,-2275.80012533045,-0.000680455823528013,False,False,False,False,Nt
1.5,200,200,0.03015075376884413,0.005,5.500138888888922,1.0,0.0,0.015075376884421843,-1.9506701578970964,-1.9506198240566652,2.5804023834077685e-05,1.000101008283588,0.9999999999999998,0.00010100828358816652,4.572281778535885e-05,1.2730911479597075e-05,0.00014695131104858206,0.0,0,0.010591900034341961,0,0,0,39600,-6.622157981576885,-0.33146621193423637,False,False,,0.0,0.0,200,0,0.0,0,0.0,-2275.52238811262,-0.000680443688203252,False,False,False,False,Nt
1.5,200,400,0.03015075376884413,0.0025,2.750069444444461,1.0,0.0,0.015075376884421843,-1.950671682176291,-1.9506198240566652,2.6585457087161497e-05,1.0001010082835784,0.9999999999999998,0.0001010082835786186,4.5614431050460734e-05,1.2700732632483408e-05,0.0001445825460315575,0.0,0,0.025495200010482222,0,0,0,79200,-6.622157981576885,-0.3314381664742049,False,False,,0.0,0.0,200,0,0.0,0,0.0,-2275.383656778733,-0.000680437611133642,False,False,False,False,Nt
3.0,200,50,0.03015075376884413,0.02,22.00055555555569,1.0,0.0,0.015075376884421843,-0.4663633054126953,-0.46619690995297414,0.00035692098374894937,0.4998548246560974,0.4999999999999999,0.00029035068780503,0.0007253720659625911,0.00040394043975563006,0.002219651392043609,0.0,0,0.0022734999656677246,0,0,0,9900,-1139.9216271698267,-0.007385335453993424,False,False,,0.0,0.0,200,0,0.0,0,0.0,-359021.8663180236,-1.1999161401221095e-05,False,False,False,False,Nt
3.0,200,100,0.03015075376884413,0.01,11.000277777777844,1.0,0.0,0.015075376884421843,-0.4663747633402012,-0.46619690995297414,0.0003814984257296549,0.49985482465609793,0.4999999999999999,0.00029035068780391976,0.0007253720761433585,0.00040394044542502904,0.0022196517840953334,0.0,0,0.004480900010094047,0,0,0,19800,-1139.9216271698267,-0.007378237367900111,False,False,,0.0,0.0,200,0,0.0,0,0.0,-358774.98174285586,-1.1997325364602198e-05,False,False,False,False,Nt
3.0,200,200,0.03015075376884413,0.005,5.500138888888922,1.0,0.0,0.015075376884421843,-0.46638048839460894,-0.46619690995297414,0.0003937787611104493,0.49985482465609643,0.4999999999999999,0.00029035068780691736,0.0007253720806644328,0.00040394044794269524,0.002219651947466872,0.0,0,0.0101577999885194,0,0,0,39600,-1139.9216271698267,-0.007374699051723393,False,False,,0.0,0.0,200,0,0.0,0,0.0,-358651.93066069,-1.1996405800329171e-05,False,False,False,False,Nt
3.0,200,400,0.03015075376884413,0.0025,2.750069444444461,1.0,0.0,0.015075376884421843,-0.4663833499453572,-0.46619690995297414,0.00039991683428758406,0.49985482465608644,0.4999999999999999,0.0002903506878269014,0.0007253720823884658,0.0004039404489027634,0.002219652006532513,0.0,0,0.018086800002492964,0,0,0,79200,-1139.9216271698267,-0.0073729325613544425,False,False,,0.0,0.0,200,0,0.0,0,0.0,-358590.5028068036,-1.199594564723865e-05,False,False,False,False,Nt
5.0,200,50,0.03015075376884413,0.02,22.00055555555569,1.0,0.0,0.015075376884421843,-0.22292292016308288,-0.22261880582436816,0.0013660765881326473,0.2994529256760631,0.29999999999999993,0.0018235810797895273,0.0020870055545071623,0.0019369966141475831,0.006386272448187125,0.0,0,0.0032961000106297433,0,0,0,9900,-722367.4132748863,-3.106575778087106e-05,False,False,,0.0,0.0,200,0,0.0,0,0.0,-205782627.88683045,-4.5140004466407887e-08,False,False,False,False,Nt
5.0,200,100,0.03015075376884413,0.01,11.000277777777844,1.0,0.0,0.015075376884421843,-0.22293803600849935,-0.22261880582436816,0.0014339767161586437,0.2994529256760619,0.29999999999999993,0.001823581079793413,0.0020870055545066267,0.001936996614147086,0.006386272448161812,0.0,0,0.005926200014073402,0,0,0,19800,-722367.4132748863,-3.1016208670133116e-05,False,False,,0.0,0.0,200,0,0.0,0,0.0,-205586059.57601473,-4.512664536738268e-08,False,False,False,False,Nt
