gamma,Nx,Nt,dy,dt,lambda,x0,y0,nearest_y,V_x0_num,V_x0_exact,relative_error_V_x0,pi_x0_num,pi_x0_exact,relative_error_pi_x0,control_RMSE_interior,control_relative_RMSE_interior,control_max_abs_error_interior,fraction_final_Vxx_ge_0,n_final_Vxx_ge_0,runtime_seconds,n_concavity_violations,n_near_zero_denom,n_denom_clipped,n_denom_points,min_denom,max_denom,has_nan,has_inf,first_violation_time,fraction_concavity_violations,fraction_denom_clipped,n_final_grid_points,n_final_concavity_violations,fraction_final_concavity_violations,n_final_denom_clipped,fraction_final_denom_clipped,min_final_Vxx,max_final_Vxx,has_nan_pi_raw,has_inf_pi_raw,has_nan_pi,has_inf_pi,sweep
1.5,50,1600,0.12244897959183687,0.000625,0.04168402777777769,1.0,0.0,0.06122448979591821,-1.9514999514510298,-1.9506198240566652,0.0004512039627148982,1.0016661719610644,0.9999999999999998,0.0016661719610646668,0.000780715704166147,0.0002113448321191429,0.002391645999120229,0.0,0,0.08092100004432723,0,0,0,76800,-6.326588759086794,-0.34735354348619585,False,False,,0.0,0.0,50,0,0.0,0,0.0,-2126.6360699535026,-0.0006997949905035061,False,False,False,False,Nx
1.5,100,1600,0.06060606060606055,0.000625,0.17015625000000031,1.0,0.0,-0.030303030303030276,-1.9508351365204522,-1.9506198240566652,0.00011038156237904923,1.0004081335912813,0.9999999999999998,0.00040813359128155657,0.00018601865646983214,5.1308070251063475e-05,0.0005765543710456456,0.0,0,0.07943450001766905,0,0,0,156800,-6.522707908752922,-0.336562245929791,False,False,,0.0,0.0,100,0,0.0,0,0.0,-2165.182725474589,-0.0006867340552615917,False,False,False,False,Nx
1.5,200,1600,0.03015075376884413,0.000625,0.6875173611111153,1.0,0.0,0.015075376884421843,-1.9506728253031034,-1.9506198240566652,2.717148968983561e-05,1.0001010082835786,0.9999999999999998,0.00010100828357884065,4.553043782413157e-05,1.2677345833920333e-05,0.0001427556146147424,0.0,0,0.08585510001285002,0,0,0,316800,-6.622157981576885,-0.3314171429373757,False,False,,0.0,0.0,200,0,0.0,0,0.0,-2275.279668401586,-0.0006804330492371825,False,False,False,False,Nx
1.5,400,1600,0.015037593984962516,0.000625,2.7639062499999594,1.0,0.0,0.007518796992481036,-1.9506327217850257,-1.9506198240566652,6.612117954187548e-06,1.0000251255154033,0.9999999999999998,2.5125515403567895e-05,1.1282611139601836e-05,3.156401725730515e-06,3.596309131204123e-05,0.0,0,0.09022670000558719,0,0,0,636800,-6.672230173016924,-0.3289072308426277,False,False,,0.0,0.0,400,0,0.0,0,0.0,-2453.6521521835734,-0.0006773408861971694,False,False,False,False,Nx
3.0,50,1600,0.12244897959183687,0.000625,0.04168402777777769,1.0,0.0,0.06122448979591821,-0.4693187834669233,-0.46619690995297414,0.006696469769102643,0.49761141638318385,0.4999999999999999,0.004777167233632086,0.012264490226257259,0.006640154960540126,0.03616382002608809,0.0,0,0.08846800000173971,0,0,0,76800,-953.7224323082955,-0.00894358038293898,False,False,,0.0,0.0,50,0,0.0,0,0.0,-256030.55664320625,-1.3866840494606238e-05,False,False,False,False,Nx
3.0,100,1600,0.06060606060606055,0.000625,0.17015625000000031,1.0,0.0,-0.030303030303030276,-0.4669610802658005,-0.46619690995297414,0.0016391578247557821,0.4994137007301389,0.4999999999999999,0.0011725985397219587,0.002956659104497753,0.0016310242845627625,0.008935315522468734,0.0,0,0.1039642000105232,0,0,0,156800,-1073.8786941208195,-0.007853436457860203,False,False,,0.0,0.0,100,0,0.0,0,0.0,-292570.9083022166,-1.2578246482697375e-05,False,False,False,False,Nx
3.0,200,1600,0.03015075376884413,0.000625,0.6875173611111153,1.0,0.0,0.015075376884421843,-0.4663854956814245,-0.46619690995297414,0.0004045194732616253,0.4998548246561054,0.4999999999999999,0.00029035068778893175,0.0007253720833573904,0.0004039404494423318,0.0022196520366524197,0.0,0,0.09530280000763014,0,0,0,316800,-1139.9216271698267,-0.007371608857441708,False,False,,0.0,0.0,200,0,0.0,0,0.0,-358544.47462674615,-1.1995600373788332e-05,False,False,False,False,Nx
3.0,400,1600,0.015037593984962516,0.000625,2.7639062499999594,1.0,0.0,0.007518796992481036,-0.4662432837766046,-0.46619690995297414,9.947261047947181e-05,0.49996388356027266,0.4999999999999999,7.223287945445912e-05,0.00017961290613829626,0.0001004963265832094,0.000553062116239289,0.0,0,0.08262020000256598,0,0,0,636800,-1174.546742762845,-0.007147282979625316,False,False,,0.0,0.0,400,0,0.0,0,0.0,-403988.58729112986,-1.172104768246371e-05,False,False,False,False,Nx
5.0,50,1600,0.12244897959183687,0.000625,0.04168402777777769,1.0,0.0,0.06122448979591821,-0.22811741028434523,-0.22261880582436816,0.024699640444191033,0.2911375752928449,0.29999999999999993,0.029541415690516794,0.034750726105217955,0.03135749388043828,0.10243644315401745,0.0,0,0.08816360001219437,0,0,0,76800,-510715.7122321069,-4.582086863983598e-05,False,False,,0.0,0.0,50,0,0.0,0,0.0,-121970816.38762927,-6.264723230520644e-08,False,False,False,False,Nx
5.0,100,1600,0.06060606060606055,0.000625,0.17015625000000031,1.0,0.0,-0.030303030303030276,-0.22396799937136605,-0.22261880582436816,0.006060555135949819,0.2977973641695224,0.29999999999999993,0.007342119434925096,0.008481237164944705,0.007797710913035675,0.025630852891851408,0.0,0,0.08289489999879152,0,0,0,156800,-642348.8329087306,-3.523067635830274e-05,False,False,,0.0,0.0,100,0,0.0,0,0.0,-156735292.5778305,-5.024010021076255e-08,False,False,False,False,Nx
