decision_date,decision_idx,estimation_start,estimation_end,window_observations,mu_hat,sigma_hat,rf_annual,gamma,w_star,w_long_only
2018-02-01,523,2016-02-02,2018-01-31,504,0.31307763596898136,0.19091613206008837,0.0148,1.5,5.455620834972672,1.0
2018-02-01,523,2016-02-02,2018-01-31,504,0.31307763596898136,0.19091613206008837,0.0148,3.0,2.727810417486336,1.0
2018-02-01,523,2016-02-02,2018-01-31,504,0.31307763596898136,0.19091613206008837,0.0148,5.0,1.6366862504918014,1.0
2018-03-01,542,2016-03-01,2018-02-28,504,0.3433511737359818,0.19783689858881345,0.0163,1.5,5.570701177539333,1.0
2018-03-01,542,2016-03-01,2018-02-28,504,0.3433511737359818,0.19783689858881345,0.0163,3.0,2.7853505887696666,1.0
2018-03-01,542,2016-03-01,2018-02-28,504,0.3433511737359818,0.19783689858881345,0.0163,5.0,1.6712103532618,1.0
2018-04-02,563,2016-03-31,2018-03-29,504,0.2515724337439343,0.20086794473265834,0.0177,1.5,3.8642614654718037,1.0
2018-04-02,563,2016-03-31,2018-03-29,504,0.2515724337439343,0.20086794473265834,0.0177,3.0,1.9321307327359019,1.0
2018-04-02,563,2016-03-31,2018-03-29,504,0.2515724337439343,0.20086794473265834,0.0177,5.0,1.159278439641541,1.0
2018-05-01,584,2016-04-29,2018-04-30,504,0.31555445613748706,0.1976331556291187,0.018500000000000003,1.5,5.070201300727156,1.0
2018-05-01,584,2016-04-29,2018-04-30,504,0.31555445613748706,0.1976331556291187,0.018500000000000003,3.0,2.535100650363578,1.0
2018-05-01,584,2016-04-29,2018-04-30,504,0.31555445613748706,0.1976331556291187,0.018500000000000003,5.0,1.5210603902181465,1.0
2018-06-01,606,2016-06-01,2018-05-31,504,0.3502385260501704,0.1985923534035195,0.0192,1.5,5.595800667514432,1.0
2018-06-01,606,2016-06-01,2018-05-31,504,0.3502385260501704,0.1985923534035195,0.0192,3.0,2.797900333757216,1.0
2018-06-01,606,2016-06-01,2018-05-31,504,0.3502385260501704,0.1985923534035195,0.0192,5.0,1.6787402002543292,1.0
2018-07-02,627,2016-06-30,2018-06-29,504,0.3732827513571098,0.19688113459399612,0.019799999999999998,1.5,6.07951256934297,1.0
2018-07-02,627,2016-06-30,2018-06-29,504,0.3732827513571098,0.19688113459399612,0.019799999999999998,3.0,3.039756284671485,1.0
2018-07-02,627,2016-06-30,2018-06-29,504,0.3732827513571098,0.19688113459399612,0.019799999999999998,5.0,1.8238537708028908,1.0
2018-08-01,648,2016-08-01,2018-07-31,504,0.3368233866628341,0.19264372408790012,0.0203,1.5,5.68597327835791,1.0
2018-08-01,648,2016-08-01,2018-07-31,504,0.3368233866628341,0.19264372408790012,0.0203,3.0,2.842986639178955,1.0
2018-08-01,648,2016-08-01,2018-07-31,504,0.3368233866628341,0.19264372408790012,0.0203,5.0,1.705791983507373,1.0
2018-09-04,671,2016-09-01,2018-08-31,504,0.41739969625739315,0.1974018836090189,0.0213,1.5,6.7765814953714285,1.0
2018-09-04,671,2016-09-01,2018-08-31,504,0.41739969625739315,0.1974018836090189,0.0213,3.0,3.3882907476857143,1.0
2018-09-04,671,2016-09-01,2018-08-31,504,0.41739969625739315,0.1974018836090189,0.0213,5.0,2.0329744486114283,1.0
2018-10-01,690,2016-09-29,2018-09-28,504,0.3771856145232808,0.19558777238823832,0.0223,1.5,6.184630181360454,1.0
2018-10-01,690,2016-09-29,2018-09-28,504,0.3771856145232808,0.19558777238823832,0.0223,3.0,3.092315090680227,1.0
2018-10-01,690,2016-09-29,2018-09-28,504,0.3771856145232808,0.19558777238823832,0.0223,5.0,1.8553890544081364,1.0
2018-11-01,713,2016-11-01,2018-10-31,504,0.3654996042352449,0.20549779897154216,0.0232,1.5,5.403818934245118,1.0
2018-11-01,713,2016-11-01,2018-10-31,504,0.3654996042352449,0.20549779897154216,0.0232,3.0,2.701909467122559,1.0
2018-11-01,713,2016-11-01,2018-10-31,504,0.3654996042352449,0.20549779897154216,0.0232,5.0,1.6211456802735356,1.0
2018-12-03,734,2016-12-01,2018-11-30,504,0.28017254056996294,0.22282258218132678,0.023799999999999998,1.5,3.4424040385192165,1.0
2018-12-03,734,2016-12-01,2018-11-30,504,0.28017254056996294,0.22282258218132678,0.023799999999999998,3.0,1.7212020192596083,1.0
2018-12-03,734,2016-12-01,2018-11-30,504,0.28017254056996294,0.22282258218132678,0.023799999999999998,5.0,1.032721211555765,1.0
2019-01-02,753,2016-12-29,2018-12-31,504,0.1941717908516809,0.2380362104308251,0.0242,1.5,1.9998597327125889,1.0
2019-01-02,753,2016-12-29,2018-12-31,504,0.1941717908516809,0.2380362104308251,0.0242,3.0,0.9999298663562944,0.9999298663562944
2019-01-02,753,2016-12-29,2018-12-31,504,0.1941717908516809,0.2380362104308251,0.0242,5.0,0.5999579198137767,0.5999579198137767
2019-02-01,774,2017-01-31,2019-01-31,504,0.20557984476358818,0.2581740385776763,0.024,1.5,1.8161480326446275,1.0
2019-02-01,774,2017-01-31,2019-01-31,504,0.20557984476358818,0.2581740385776763,0.024,3.0,0.9080740163223138,0.9080740163223138
2019-02-01,774,2017-01-31,2019-01-31,504,0.20557984476358818,0.2581740385776763,0.024,5.0,0.5448444097933883,0.5448444097933883
